gisjoin,year,state,statea,county,countya,tracta,name,c_tot_housing_unt,c_occup_unt,c_vacant_unt,c_population,c_male_pop,c_female_pop,c_black_pop,c_ai_pop,c_asian_pop,c_pacific_islander_pop,c_multiracial_pop,c_hispanic_pop,c_white_pop,c_perc_male,c_perc_female,c_perc_black,c_perc_asian,c_perc_pacific_islander,c_perc_ai,c_perc_multiracial,c_perc_hispanic,c_perc_white,c_median_age_tot,c_mean_household_size_tot,c_total_households,c_hh_type_family,c_hh_type_family_husband_wife,c_hh_type_family_other_family,c_hh_type_family_single_male,c_hh_type_family_single_female,c_hh_type_nonfamily,c_living_alone,c_roommates,c_hh_with_children,c_hh_family_with_children,c_generations_3plus,c_generations_under3,c_mean_family_size_tot,c_total_occupied_housing_units,c_owner_occupied_units,c_renter_occupied_units,c_perc_fam_hh,c_perc_nonfam_hh,c_perc_married_hh,c_perc_single_householder_fam_hh,c_perc_living_alone,c_perc_roommates,c_perc_child_hh,c_perc_child_fam_hh,c_perc_owner_occ,c_perc_renter_occ,s_tot_mtw,s_mtw_perc_carpooled,s_mtw_perc_drove_alone,s_mtw_perc_public_transport,s_mtw_perc_bike,s_mtw_perc_walk,s_tot_ttw,s_weighted_avg_ttw,s_tot_edu,s_edu_perc_nohs,s_edu_perc_hs,s_edu_perc_some_college,s_edu_perc_college,s_edu_perc_gradschool,s_median_household_income,s_tot_public_assistance_households,s_perc_public_assistance_income,s_median_family_income,s_percapita_income,s_tot_occ,s_occ_perc_aggriculture,s_occ_perc_construction_manufacturing,s_occ_perc_trade,s_occ_perc_transport_warehousing_utils,s_occ_perc_info,s_occ_perc_finance,s_occ_perc_professional,s_occ_perc_edu_health,s_occ_perc_arts_rec_accomodations_food,s_occ_perc_public_admin,s_tot_employment_status,s_tot_foreign_lang,s_employment_status_perc_unemployed,s_foreign_lang_perc_spoken,s_med_num_rooms,s_med_yr_bult,s_med_rent,s_med_hous_val,s_tot_occupied_units,s_tot_owner_occupied,s_tot_renter_occupied,s_perc_util_gas,s_perc_gas,s_perc_elect,s_perc_oil_ker,s_perc_coal_coke,s_perc_wood,s_perc_solar,s_perc_other,s_perc_no_fuel,s_perc_comp_plump,s_perc_incom_plump,s_perc_owner_no_vehi,s_perc_owner_vehi,s_perc_renter_no_vehi,s_perc_renter_vehi
G3600470025100,2010,New York,36,Kings County,047,025100,Census Tract 251,1522,1434,88,3816,1749,2067,2840,22,143,4,139,728,197,45.83333333333333,54.166666666666664,74.42348008385744,3.747379454926625,0.10482180293501049,0.5765199161425576,3.642557651991614,19.07756813417191,5.162473794549266,30,2.63,1434,809,225,584,101,483,625,501,124,502,501,115,1319,3.53,1434,137,1297,56.41562064156206,43.584379358437936,15.690376569037657,40.72524407252441,34.93723849372385,8.647140864714087,35.006973500697356,34.93723849372385,9.553695955369596,90.4463040446304,1278,0,12.910798122065728,79.26447574334898,1.330203442879499,5.633802816901409,1267,46.11365430149961,2153,30.422666047375756,32.187645146307474,14.909428704133768,19.786344635392474,2.693915466790525,34821,1315,7.300380228136882,34297,13189,1290,0,12.945736434108527,15.271317829457365,9.37984496124031,3.565891472868217,3.488372093023256,10.69767441860465,30.620155038759687,2.1705426356589146,6.434108527131784,2153,2153,37.62192289828147,18.114259173246634,3.9,1939,818,522300,1315,120,1195,75.4372623574145,0.836501901140684,5.93155893536122,16.3498098859316,1.44486692015209,0,0,0,0,97.918022121015,2.08197787898504,18.3333333333333,81.6666666666667,84.8535564853557,15.1464435146443
G3600470025200,2010,New York,36,Kings County,047,025200,Census Tract 252,1989,1800,189,4786,2335,2451,56,13,1791,0,141,721,2183,48.7881320518178,51.2118679481822,1.170079398244881,37.42164646886753,0,0.27162557459256165,2.9460927705808606,15.064772252402841,45.612202256581696,38.6,2.66,1800,1199,855,344,117,227,601,501,100,564,560,105,1695,3.29,1800,400,1400,66.61111111111111,33.38888888888889,47.5,19.11111111111111,27.833333333333332,5.555555555555555,31.333333333333336,31.11111111111111,22.22222222222222,77.77777777777779,2461,3.8195855343356357,15.603413246647705,66.11133685493702,1.6253555465258025,10.361641609101993,2400,45.608333333333334,3961,30.421610704367584,33.8803332491795,12.900782630648827,17.722797273415804,5.074476142388286,45968,1911,4.657247514390372,51003,18654,2540,0,13.188976377952756,16.535433070866144,8.188976377952756,3.661417322834646,5.354330708661418,8.818897637795276,16.10236220472441,17.20472440944882,4.05511811023622,3961,3961,37.4905326937642,75.94041908608938,3.7,1939,1086,626600,1911,582,1329,77.0277341705913,3.03506017791732,0.418628990057561,19.5185766614338,0,0,0,0,0,98.4591679506934,1.54083204930663,25.7731958762887,74.2268041237113,72.9119638826185,27.0880361173815
G3600470025300,2010,New York,36,Kings County,047,025300,Census Tract 253,1405,1171,234,2754,1290,1464,1800,15,93,5,122,521,350,46.84095860566449,53.15904139433552,65.359477124183,3.376906318082789,0.18155410312273057,0.5446623093681917,4.429920116194626,18.917937545388526,12.708787218591139,32.8,2.35,1171,559,216,343,76,267,612,431,181,296,292,47,1124,3.13,1171,235,936,47.73697694278394,52.26302305721605,18.44577284372331,29.29120409906063,36.806148590947906,15.456874466268147,25.27754056362084,24.93595217762596,20.068317677198973,79.93168232280102,933,3.536977491961415,5.466237942122187,80.92175777063237,5.787781350482315,1.3933547695605575,906,44.48344370860927,1352,17.825443786982248,22.337278106508876,31.06508875739645,23.224852071005916,5.547337278106509,44084,867,2.5374855824682814,57880,21363,933,0,7.717041800643088,5.894962486602358,7.717041800643088,5.680600214362272,4.930332261521972,7.395498392282958,32.58306538049303,10.932475884244374,5.894962486602358,1352,1352,32.84023668639053,15.236686390532544,4.2,1939,984,742100,867,304,563,58.477508650519,0.230680507497116,13.4948096885813,25.836216839677,0,0,0,1.96078431372549,0,100,0,48.0263157894737,51.9736842105263,66.785079928952,33.214920071048
G3600470025400,2010,New York,36,Kings County,047,025400,Census Tract 254,1284,1162,122,3500,1753,1747,24,7,1813,0,64,369,1259,50.08571428571429,49.91428571428572,0.6857142857142857,51.800000000000004,0,0.2,1.8285714285714287,10.542857142857143,35.97142857142857,36.9,3.01,1162,848,600,248,93,155,314,266,48,404,403,96,1066,3.58,1162,446,716,72.9776247848537,27.022375215146297,51.63511187607573,21.34251290877797,22.89156626506024,4.130808950086059,34.76764199655766,34.6815834767642,38.38209982788296,61.61790017211703,1522,11.498028909329829,15.703022339027594,66.75427069645204,0,3.416557161629435,1482,52.524966261808366,2472,37.176375404530745,18.48705501618123,10.558252427184465,25.32362459546926,8.454692556634305,41218,1174,2.6405451448040886,48250,18302,1647,0,15.846994535519126,13.964784456587736,9.957498482088646,0.7285974499089253,9.65391621129326,7.528840315725562,15.421979356405584,22.890103217972072,2.853673345476624,2472,2472,32.11974110032362,86.69093851132686,4.1,1939,1028,567500,1174,464,710,78.9608177172061,2.29982964224872,3.32197614991482,15.4173764906303,0,0,0,0,0,99.7545008183306,0.245499181669394,33.1896551724138,66.8103448275862,55.4929577464789,44.5070422535211
G3600470025500,2010,New York,36,Kings County,047,025500,Census Tract 255,1715,1696,19,5102,2115,2987,2616,80,77,2,314,2720,53,41.45433163465308,58.54566836534693,51.27401019208153,1.5092120736965895,0.03920031360250882,1.5680125441003527,6.1544492355938845,53.31242649941199,1.0388083104664836,29,3.01,1696,1336,299,1037,96,941,360,327,33,812,810,255,1441,3.44,1696,5,1691,78.77358490566037,21.22641509433962,17.629716981132077,61.14386792452831,19.28066037735849,1.945754716981132,47.87735849056604,47.759433962264154,0.294811320754717,99.70518867924528,1352,6.952662721893491,11.834319526627219,74.92603550295857,0,5.2514792899408285,1338,50.795216741405085,2631,53.43975674648422,27.175978715317367,12.846826301786393,5.131128848346636,1.4063093880653743,16670,1795,19.33147632311978,22227,8252,1387,0,7.137707281903388,15.284787310742608,12.617159336697908,1.225666906993511,3.9653929343907715,7.930785868781543,30.35328046142754,13.482335976928622,3.6770007209805335,2631,2631,55.56822500950209,45.64804256936526,4.3,1948,349,NA,1795,0,1795,48.2451253481894,2.39554317548746,9.19220055710306,25.4596100278551,0,0,0,6.46239554317549,8.24512534818941,100,0,NA,NA,87.1309192200557,12.8690807799443
G3600470025600,2010,New York,36,Kings County,047,025600,Census Tract 256,1126,1024,102,3058,1478,1580,19,9,1614,3,55,192,1196,48.33224329627207,51.66775670372793,0.6213211249182472,52.779594506213215,0.09810333551340746,0.2943100065402224,1.7985611510791366,6.278613472858077,39.11052975801177,42.1,2.99,1024,751,577,174,54,120,273,219,54,338,338,96,928,3.55,1024,449,575,73.33984375,26.66015625,56.34765625,16.9921875,21.38671875,5.2734375,33.0078125,33.0078125,43.84765625,56.15234375,1382,8.610709117221418,22.431259044862518,59.69609261939218,0,9.261939218523878,1382,53.59985528219971,2260,38.27433628318584,26.50442477876106,12.47787610619469,16.238938053097346,6.504424778761061,35417,1049,3.813155386081983,42000,20068,1421,0,13.089373680506686,12.596762843068262,5.207600281491907,0,11.400422237860662,15.904292751583393,24.7009148486981,10.696692470091484,2.955665024630542,2260,2260,43.849557522123895,70.30973451327434,4.5,1939,829,618900,1049,570,479,78.1696854146806,6.86367969494757,0,14.0133460438513,0,0,0,0,0.953288846520496,100,0,38.5964912280702,61.4035087719298,68.4759916492693,31.5240083507307
G3600470025700,2010,New York,36,Kings County,047,025700,Census Tract 257,707,634,73,2131,1073,1058,805,38,81,0,76,1102,220,50.351947442515254,49.64805255748475,37.77569216330362,3.8010323791647114,0,1.7832003754106054,3.5664007508212108,51.712810886907555,10.32379164711403,29.1,3.18,634,426,217,209,46,163,208,113,95,272,268,53,581,3.61,634,157,477,67.19242902208202,32.80757097791798,34.22712933753943,32.965299684542586,17.823343848580443,14.98422712933754,42.90220820189275,42.27129337539432,24.76340694006309,75.23659305993691,780,0,30.256410256410255,48.333333333333336,5.384615384615385,12.051282051282051,749,38.35647530040053,915,34.53551912568306,32.78688524590164,12.6775956284153,9.726775956284154,10.273224043715846,26625,601,0,33018,14117,780,0,1.282051282051282,13.076923076923078,5.384615384615385,0,0,8.846153846153847,29.230769230769234,21.666666666666668,7.435897435897436,915,915,25.02732240437158,46.775956284153004,4.5,1963,1055,550800,601,102,499,55.7404326123128,0,0,42.2628951747088,0,0,0,0,1.99667221297837,100,0,20.5882352941176,79.4117647058823,62.124248496994,37.875751503006
G3600470025800,2010,New York,36,Kings County,047,025800,Census Tract 258,1713,1613,100,4597,2240,2357,55,15,1575,0,77,757,2195,48.72743093321731,51.27256906678268,1.1964324559495323,34.26147487491843,0,0.3262997607135088,1.6750054383293453,16.467261257341743,47.74853165107679,37.7,2.85,1613,1143,825,318,94,224,470,378,92,554,553,128,1485,3.41,1613,387,1226,70.86174829510229,29.138251704897705,51.14693118412895,19.714817110973343,23.43459392436454,5.7036577805331685,34.34593924364538,34.28394296342219,23.99256044637322,76.00743955362678,1927,5.241307732226259,23.45614945511157,64.81577581733265,0,5.08562532433835,1900,48.036842105263155,3199,26.539543607377304,34.073147858705845,9.377930603313535,24.632697718036887,5.376680212566427,38796,1672,9.569377990430622,39815,21291,2035,0,24.766584766584767,13.562653562653562,7.42014742014742,1.9656019656019657,8.845208845208845,4.61916461916462,19.45945945945946,6.535626535626536,8.206388206388207,3199,3199,41.04407627383557,73.33541731791185,4.2,1939,1014,723100,1672,480,1192,69.0789473684211,4.24641148325359,5.02392344497608,18.8995215311005,1.25598086124402,0,0,0,1.49521531100478,100,0,16.875,83.125,53.9429530201342,46.0570469798658
G3600470025901,2010,New York,36,Kings County,047,025901,Census Tract 259.01,738,683,55,2010,987,1023,972,13,40,1,100,903,213,49.1044776119403,50.8955223880597,48.35820895522388,1.9900497512437811,0.04975124378109452,0.6467661691542288,4.975124378109453,44.92537313432835,10.597014925373134,27.6,2.87,683,412,127,285,59,226,271,169,102,280,279,46,637,3.37,683,68,615,60.32210834553441,39.67789165446559,18.594436310395317,41.72767203513909,24.743777452415813,14.93411420204978,40.995607613469986,40.849194729136165,9.956076134699854,90.04392386530014,704,8.238636363636363,9.090909090909092,69.17613636363636,1.5625,6.534090909090909,666,51.01801801801802,1030,22.330097087378643,30.097087378640776,14.563106796116504,31.941747572815533,1.0679611650485437,26053,644,9.316770186335404,22313,17824,704,0,2.9829545454545454,11.363636363636363,3.4090909090909087,8.948863636363637,6.9602272727272725,7.1022727272727275,15.625,32.95454545454545,2.840909090909091,1030,1030,30.485436893203882,42.71844660194174,3.9,1943,1097,485600,644,89,555,63.9751552795031,6.36645962732919,0.93167701863354,28.7267080745342,0,0,0,0,0,98.5507246376812,1.44927536231884,89.8876404494382,10.1123595505618,84.1441441441441,15.8558558558559
G3600470025902,2010,New York,36,Kings County,047,025902,Census Tract 259.02,1057,1053,4,3419,1446,1973,1959,32,33,1,166,1604,24,42.29306814858146,57.70693185141854,57.29745539631471,0.9651945013161742,0.029248318221702253,0.9359461830944721,4.855220824802574,46.91430242761041,0.7019596373208541,26.8,3.25,1053,810,198,612,52,560,243,223,20,532,532,184,869,3.78,1053,8,1045,76.92307692307693,23.076923076923077,18.803418803418804,58.119658119658126,21.17758784425451,1.899335232668566,50.522317188983855,50.522317188983855,0.7597340930674265,99.24026590693258,990,1.2121212121212122,5.151515151515151,80.1010101010101,0,6.262626262626263,918,58.766884531590414,1758,44.59613196814562,26.109215017064848,14.106939704209328,11.604095563139932,3.583617747440273,20963,1129,12.488928255093002,18750,8447,1001,0,7.092907092907093,8.591408591408593,2.4975024975024978,1.2987012987012987,6.693306693306693,6.493506493506493,39.16083916083916,13.186813186813188,11.188811188811188,1758,1758,53.01478953356087,35.89306029579067,4.6,1958,446,NA,1129,12,1117,62.9760850310009,1.06288751107174,8.50310008857396,23.9149689991143,0,0,0,1.15146147032772,2.39149689991143,100,0,0,100,86.2130707251567,13.7869292748433
